wqx_column_name,in_template,transducer_colname,qapp_colname,description
Data Logger Line,No,,,"Unique ID for the specific result recorded by a continuous data logger.  Often the ID includes the date and time to indicate the specific time data was captured. Required if Activity Type  contains the phrase ""Data Logger""; Must be unique within Activity."
Result Detection Condition,Yes,CONDITIONAL ON ANALYTE IF NA its Not Detected,,Result detection Condition is re quired if Result Measure Value is blank; Must not be populated if Result Measure Value is provided.
Characteristic Name,Yes,ANALYTE,,Valid characteristic name; required if activity yields results or detection conditions that are being reported
Method Speciation,Yes,TODO,,Identifies the chemical speciation in which the measured result is expressed
Result Sample Fraction,Yes,,,"Text name of fraction of sample associated with result, required for certain characteristics, see Characteristics"
Result Value,Yes,RESULT,,"Measured value of characteristic, required if Result Detection Condition Text is blank, No entry allowed if Result Detection Condition Text is populated."
Result Unit,Yes,UNITS,,"Units for characteristic result, required if a non text result is reported"
Result Qualifier,Yes,,,A code used to identify any qualifying issues that affect the results.
Result Status ID,Yes,FINAL,,"Required if result is reported; Indicates acceptability of result with respect to QA/QC, Data will not go into the STORET wharehouse if the status is  ""Preliminary"" "
Statistical Base Code,Yes,,,"Code used for method used to calculate derived results, such as Mean, Maximum, etc."
Result Value Type,Yes,,,"Qualifies process used in the determination of result value (eg. Actual, Estimated, Calculated).  Required if result is non-text.  Default is Actual."
Result Weight Basis,No,,,"Form of sample or portion of sample associated with result value (eg. wet weight, dry weight, etc.)"
Result Time Basis,No,,,"The period of time (in days) over which a measurement was made. For example, BOD can be measured as 5 day or 20 day BOD."
Result Temperature Basis,No,,,"The name that represents the controlled temperature at which the sample was maintained during analysis, e.g. 25 deg BOD analysis. "
Result Particle Size Basis,No,,,User defined free text describing the particle size class for which the associated result is defined.  
Precision,No,,,"A measure of mutual agreement among individual measurements of
the same property usually under prescribed similar conditions."
Bias,No,,,The systematic or persistent distortion of a measurement process which causes error in one direction.
Confidence Interval,No,,,A range of values constructed so that this range has a specified probability of including the true population mean.
Upper Confidence Limit,No,,,Value of the upper end of the confidence interval.
Lower Confidence Limit,No,,,Value of the lower end of the confidence interval.
Result Comment,Yes,,,Provided to allow for the entry of comments about result
Result Depth/Height Measure,No,,,A measurement of the vertical location (measured from a reference point) at which a result is obtained.
Result Depth/Height Unit,No,,,"Units for Result Depth Height Measure, required if Result Depth Height Measure entered"
Result Depth/Altitude Reference Point,No,,,The reference used to indicate the datum or reference used to establish the depth/altitude of a result.
Result Sampling Point Name,No,,,Single point name within a sampling frame or protocol that is associated with the reported result.
Result Attachment File Name,No,,,"References and electronic attachments to a Result description including any other documents, images, maps, photos, laboratory materials, geospatial coverages, and other objects associated with the Result"
Result Attachment Type,No,,,The text or acronym describing the binary content type of a file.  Required if Result Attachment File Name is provided.
Result Analytical Method ID,Yes,METHODNAME,,"ID number assigned by method publisher, required if Activity Type Code contains the word Sample, for nationally defined methods see Nat. Methods Tab, to define an analytical method unique to your organization see Analytical & Collection Methods Tab"
Result Analytical Method Context,Yes,METHODNAME,,"Source of method, required if Activity Type Code is Sample, for nationally defined methods see Nat. Methods Tab, to define an analytical method unique to your organization see Analytical & Collection Methods Tab"
Laboratory Name,No,LABNAME,,Name of Laboratory performing the analysis
Analysis Start Date,Yes,ANADATE,,Date sample analyzed (YYYY-MM-DD)
Analysis Start Time,No,ANADATE,,The time of day that is reported.
Analysis Start Time Zone,No,ANADATE,,The time zone for which the time of day is reported.  Required if Analysis Start Time is reported.
Analysis End Date,No,,,Date sample analysis ended (YYYY-MM-DD)
Analysis End Time,No,,,The time of day that is reported.
Analysis End Time Zone,No,,,The time zone for which the time of day is reported.  Required if Analysis End Time is reported.
Result Laboratory Comment Code,No,,,Remarks which further describe the laboratory procedures which produced the result.
Result Detection/Quantitation Limit Type,Yes,,,"Text describing the type of detection or quantitation limit used in the analysis of a characteristic.  Required if Result Detection Condition is ""Not Detected"", ""Present Above Quantification Limit"", or ""Present Below Quantification Limit""."
Result Detection/Quantitation Limit Measure,Yes,,,"The reportable measure of the result for the chemical, microbiological or other characteristic being analyzed.  Required if Result Detection Condition is ""Not Detected"", ""Present Above Quantification Limit"", or ""Present Below Quantification Limit""."
Result Detection/Quantitation Limit Unit,Yes,,,"The code that represents the unit for measuring the chemical substance, microbiological substance or other characteristic.  Required if Result Detection Condition is ""Not Detected"", ""Present Above Quantification Limit"", or ""Present Below Quantification Limit"".  Also Required if Result Detection/Quantitation Limit Measure is reported."
Laboratory Accreditation Indicator,No,,,Indicates whether the laboratory is accredited. 
Laboratory Accreditation Authority,No,,,An outside accreditation authority identifier.
Lab Sample Preparation Method ID,No,,,Identifying code assigned by the method publisher about the method followed to prepare a sample for analysis
Lab Sample Preparation Start Date,No,,,Date lab sample preparation started (YYYY-MM-DD)
Lab Sample Preparation Start Time,No,,,The time of day that is reported.
Lab Sample Preparation Start Time Zone,No,,,The time zone for which the time of day is reported.   Required if Lab Sample Preparation Start Time is reported.
Lab Sample Preparation End Date,No,,,Date lab sample preparation  ended (YYYY-MM-DD)
Lab Sample Preparation End Time,No,,,The time of day that is reported.
Lab Sample Preparation End Time Zone,No,,,The time zone for which the time of day is reported. Required if Lab Sample Preparation End Time is reported.
Substance Dilution Factor,No,,,The overall dilution of the substance subjected to this analysis.
Activity Group ID,No,,,Designator that uniquely identifies a grouping of activities within an organization.  Required for reporting an Activity Group.
Activity Group Name,No,,,A name of an activity group.
Activity Group Type,No,,,Identifies the type of grouping of a set of activities.  Required if Reporting an Activity Group.
